0	1	1.5	8890	10.1	6.3	0.6	1.1	-1	-1	0.1	-1	-1	0.1	-1	-1	-1	-1	-1	-1	-1
1	2	26	5800	-1	59.9	9.1	4.4	0.6	6.9	7.7	-1	0.8	7.4	-1	-1	-1	2.3	-1	-1	0.8
1	1	26	1306	10.2	6.3	0.1	1.1	-1	-1	0.1	-1	-1	0.1	-1	-1	-1	-1	-1	-1	-1
2	2	3.1	3854	1.3	51.6	10.6	3.4	0.5	5.8	6.6	-1	0.8	6.3	-1	-1	-1	2.1	-1	-1	0.7
3	2	4.2	3307	1.7	48.6	11.4	3.3	0.5	5.5	6.2	-1	0.8	5.9	-1	-1	-1	1.8	-1	-1	0.6
4	3	9.2	5792	-1	2.7	0.2	0.6	11.9	3.7	4.1	7.1	2	0.8	0.1	-1	-1	32.7	-1	-1	5.8
5	3	9.2	4989	-1	5.6	0.4	0.8	11.3	3.8	4.3	7.2	2.1	1.1	0.1	-1	-1	31.1	-1	-1	5.5
6	3	9.2	5031	-1	4.3	0.2	0.6	11.5	3.6	4.2	7.2	2.1	1.2	0.1	-1	-1	31.4	0.1	-1	5.9
6	2	9.2	866	-1	63.1	5.1	4.1	0.6	7.2	8.1	-1	0.6	7.8	-1	-1	-1	2.5	-1	-1	0.8
6	1	9.2	806	10.2	6.3	0.1	1.1	-1	-1	0.1	-1	-1	0.1	-1	-1	-1	-1	-1	-1	-1
7	3	5.4	3230	-1	5.8	0.5	0.8	11	3.8	4.2	8.4	2.4	1.1	-1	-1	-1	30.3	-1	-1	5.4
8	3	1.5	3688	-1	2.7	0.2	0.6	11.7	3.6	4	8.2	2.3	0.8	0.1	-1	-1	32.2	-1	-1	5.7
9	4	4.8	4316	-1	45.9	1.8	0.3	3.3	2	7.5	-1	0.9	11.7	1	0.8	1.1	2.3	2.1	-1	11.5
9	3	4.8	283	-1	2.8	0.1	0.7	12.2	3.8	4.2	5.2	1.5	0.8	0.1	-1	-1	33.7	-1	-1	5.9
9	2	4.8	412	-1	63.1	5.1	4.1	0.6	7.2	8.1	-1	0.6	7.8	-1	-1	-1	2.5	-1	-1	0.8
9	1	4.8	185	10.2	6.3	0.1	1.1	-1	-1	0.1	-1	-1	0.1	-1	-1	-1	-1	-1	-1	-1
10	4	1.3	5101	-1	44.3	1.7	0.2	3.2	2	7.3	-1	0.8	11.3	1.2	0.8	1.1	2.3	2.3	0.3	11.3
10	3	1.3	949	-1	2.8	0.1	0.7	12.2	3.8	4.2	5.2	1.5	0.8	0.1	-1	-1	33.7	-1	-1	5.9
10	2	1.3	1367	-1	63.1	5.1	4.1	0.6	7.2	8.1	-1	0.6	7.8	-1	-1	-1	2.5	-1	-1	0.8
10	1	1.3	5658	10.2	6.3	0.1	1.1	-1	-1	0.1	-1	-1	0.1	-1	-1	-1	-1	-1	-1	-1
11	4	0.6	2981	-1	45.5	2.3	0.2	3.3	2	7.5	-1	1.1	11.6	1	0.9	1.3	2.3	2	-1	11.4
12	4	0.8	2981	-1	45.5	2.3	0.2	3.3	2	7.5	-1	1.1	11.6	1	0.9	1.3	2.3	2	-1	11.4
13	5	13.6	3261	-1	2.5	0.1	0.1	0.7	0.9	1.3	-1	0.1	0.1	4.9	-1	0.3	1.2	13.2	7.7	7.7
13	4	13.6	1066	-1	46.8	0.8	0.3	3.4	2.1	7.7	-1	0.6	11.9	1	0.6	0.8	2.3	2.1	-1	11.7
13	3	13.6	1915	-1	2.8	0.1	0.7	12.2	3.8	4.2	5.2	1.5	0.8	0.1	-1	-1	33.7	-1	-1	5.9
13	2	13.6	121	-1	63.1	5.1	4.1	0.6	7.2	8.1	-1	0.6	7.8	-1	-1	-1	2.5	-1	-1	0.8
14	5	4.5	5573	-1	2.5	0.1	0.1	0.7	0.9	1.3	-1	0.1	0.1	4.9	-1	0.3	1.2	13.2	7.8	7.8
14	4	4.5	257	-1	46.8	0.8	0.3	3.4	2.1	7.7	-1	0.6	11.9	1	0.6	0.8	2.3	2.1	-1	11.7
14	3	4.5	243	-1	2.8	0.1	0.7	12.2	3.8	4.2	5.2	1.5	0.8	0.1	-1	-1	33.7	-1	-1	5.9
14	2	4.5	286	-1	63.1	5.1	4.1	0.6	7.2	8.1	-1	0.6	7.8	-1	-1	-1	2.5	-1	-1	0.8
14	1	4.5	62	10.2	6.3	0.1	1.1	-1	-1	0.1	-1	-1	0.1	-1	-1	-1	-1	-1	-1	-1
15	5	2	3220	-1	2.5	0.1	0.1	0.7	0.9	1.3	-1	0.1	0.1	4.9	-1	0.4	1.2	13.2	7.7	7.7
16	5	2	3220	-1	2.5	0.1	0.1	0.7	0.9	1.3	-1	0.1	0.1	4.9	-1	0.4	1.2	13.2	7.7	7.7
